id_demanda,Z,t_min
538870,3656,40.11333333333334
657536,3308,31.418333333333333
624532,3831,48.0
680984,3350,30.02
618270,4053,48.0
550863,3165,36.79833333333333
224476,3857,45.63166666666667
662657,3067,39.68
118684,3150,33.57666666666667
662659,2681,53.45166666666667
617719,3461,28.803333333333335
115989,3722,47.72666666666667
538755,3327,42.23166666666667
662655,3249,41.55166666666666
512727,3291,30.168333333333333
661866,3554,40.55333333333333
120158,3200,34.875
612857,3574,27.336666666666666
115580,3770,37.14
250187,3157,33.795
657395,4642,128.24833333333333
679236,4224,148.77166666666665
677024,4509,131.74666666666667
656108,4359,139.98666666666668
662679,4432,140.21833333333333
662689,4460,131.65666666666667
657159,3801,178.71666666666667
227254,4352,118.19
220819,4411,102.33666666666666
618685,3160,149.94333333333333
679618,4203,154.035
238048,4499,107.02333333333333
657148,4145,162.15333333333334
656247,4158,152.81833333333333
537218,3838,163.88833333333332
119502,3281,159.78833333333333
662716,3876,160.60333333333335
692164,3427,148.64166666666668
657157,3837,177.57833333333335
679620,4217,155.08333333333334
657391,4570,108.15
657166,4156,176.57166666666666
662711,3771,166.68666666666667
235527,4399,131.65666666666667
657411,4486,139.18333333333334
662702,3902,158.815
110878,4504,128.24166666666667
245396,4232,146.07666666666668
619599,4730,140.37333333333333
621446,3334,154.10833333333332
620813,4304,128.795
224839,4524,116.44
233258,4210,121.17833333333333
616210,4170,151.45499999999998
512994,4092,150.58666666666667
250295,4452,99.66000000000001
680978,3998,140.35666666666665
656249,4493,153.25666666666666
517694,3115,152.26166666666668
656255,4483,148.56
679240,4037,160.06833333333333
245030,4092,138.49166666666667
679619,3842,163.67333333333332
662703,3593,166.105
231648,4141,139.98666666666668
656107,4126,153.05499999999998
625775,4611,106.16666666666667
124239,4515,117.03
677864,4326,138.17000000000002
678033,4419,136.31333333333333
662601,4234,140.37333333333333
657402,4502,107.11666666666666
657153,3578,179.65166666666667
678029,4022,165.725
657393,4488,107.25333333333333
657152,3689,180.80833333333334
678030,3908,165.725
523099,4704,102.15833333333333
243289,4368,148.49666666666664
679235,3930,176.76166666666668
657389,4589,107.25333333333333
679245,4175,158.26666666666668
679244,3657,184.07666666666668
112411,3632,164.09833333333333
656252,4631,150.88333333333333
227037,4291,147.99833333333333
657150,3825,173.66666666666666
522068,4061,134.98833333333334
657403,4284,95.11333333333333
657410,3723,150.15833333333333
680360,4248,137.59666666666666
662710,3906,169.165
234967,4135,119.945
657151,3899,174.23166666666665
662700,3941,158.05333333333334
626459,3515,182.55
236758,3632,148.11833333333334
662705,3455,166.105
231551,4262,91.83833333333334
662718,3438,162.46833333333333
118518,4632,109.43
662706,3672,166.8
548393,3882,162.95833333333334
122758,3713,179.22333333333333
114756,4540,105.37333333333332
524148,3267,139.325
